title,price,room_count,sq_meters,apartment_floor,year_built,link
"1 kambario butas Klaipėdoje, Kauno, Paryžiaus Komunos g. ","
Kaina: 35 500 € (1 315 €/m²)

",1 kamb.,27.00 m²,8/9 a., m.,https://domoplius.lt/skelbimai/parduodamas-1-kambario-butas-klaipedoje-kauno-paryziaus-komunos-g-7232791.html
"3 kambarių butas Klaipėdoje, Melnragėje, Molo g. ","
Kaina: 85 000 € (1 466 €/m²)

",3 kamb.,58.00 m²,1/2 a., m.,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-klaipedoje-melnrageje-molo-g-7232704.html
"4 kambarių butas Klaipėdoje, Baltijos, Baltijos pr. ","
Kaina: 60 000 € (771 €/m²)

",4 kamb.,77.78 m²,3/5 a.,1987 m.,https://domoplius.lt/skelbimai/parduodamas-4-kambariu-butas-klaipedoje-baltijos-baltijos-pr-7232314.html
"2 kambarių butas Klaipėdoje, Bandužiuose, Mogiliovo g. ","
Kaina: 45 000 € (833 €/m²)

",2 kamb.,54.00 m²,5/5 a.,1993 m.,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-klaipedoje-banduziuose-mogiliovo-g-7232203.html
"2 kambarių butas Klaipėdoje, Centre, Rumpiškės g. ","
Kaina: 79 999 € (1 860 €/m²)

",2 kamb.,43.00 m²,1/2 a.,1920 m.,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-klaipedoje-centre-rumpiskes-g-7232191.html
"3 kambarių butas Klaipėdoje, Alksnynėje, Taikos pr. ","
Kaina: 62 600 € (974 €/m²)

",3 kamb.,64.25 m²,1/9 a.,1977 m.,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-klaipedoje-alksnyneje-taikos-pr-7232173.html
"3 kambarių butas Klaipėdoje, Baltijos, Baltijos pr. ","
Kaina: 63 000 € (875 €/m²)

",3 kamb.,72.00 m²,2/5 a.,1970 m.,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-klaipedoje-baltijos-baltijos-pr-7232167.html
"3 kambarių butas Klaipėdoje, Poilsio, Rambyno g. ","
Kaina: 84 000 € (1 284 €/m²)

",3 kamb.,65.42 m²,4/5 a.,1987 m.,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-klaipedoje-poilsio-rambyno-g-7232164.html
"4 kambarių butas Klaipėdoje, Poilsio, Rambyno g. ","
Kaina: 85 000 € (934 €/m²)

",4 kamb.,91.00 m²,4/5 a.,1998 m.,https://domoplius.lt/skelbimai/parduodamas-4-kambariu-butas-klaipedoje-poilsio-rambyno-g-7232158.html
"2 kambarių butas Klaipėdoje, Šilutėje, Šilutės pl. ","
Kaina: 46 000 € (885 €/m²)

",2 kamb.,52.00 m²,5/5 a.,1970 m.,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-klaipedoje-siluteje-silutes-pl-7232116.html
"2 kambarių butas Klaipėdoje, Centre, Rumpiškės g. ","
Kaina: 63 000 € (1 658 €/m²)

",2 kamb.,38.00 m²,2/5 a.,1963 m.,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-klaipedoje-centre-rumpiskes-g-7232089.html
"3 kambarių butas Klaipėdoje, Debrecene, Debreceno g. ","
Kaina: 56 500 € (9 €/m²)

",3 kamb.,6152.00 m²,9/9 a.,1971 m.,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-klaipedoje-debrecene-debreceno-g-7232071.html
"3 kambarių butas Klaipėdoje, Bandužiuose, Kuncų g. ","
Kaina: 60 900 € (781 €/m²)

",3 kamb.,78.00 m²,4/5 a.,1987 m.,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-klaipedoje-banduziuose-kuncu-g-7232068.html
"3 kambarių butas Klaipėdoje, Varpuose, Liubeko g. ","
Kaina: 71 900 € (922 €/m²)

",3 kamb.,78.00 m²,5/5 a.,1997 m.,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-klaipedoje-varpuose-liubeko-g-7232062.html
"2 kambarių butas Klaipėdoje, Žvejybos uostas, Žalgirio g. ","
Kaina: 46 500 € (1 192 €/m²)

",2 kamb.,39.00 m²,4/4 a.,1960 m.,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-klaipedoje-zvejybos-uostas-zalgirio-g-7232044.html
"5 kambarių butas Klaipėdoje, Centre, Vilties g. ","
Kaina: 127 000 € (1 124 €/m²)

",5 kamb.,113.00 m²,3/3 a.,1936 m.,https://domoplius.lt/skelbimai/parduodamas-5-kambariu-butas-klaipedoje-centre-vilties-g-7232041.html
"2 kambarių butas Klaipėdoje, Žvejybos uostas, Minijos g. ","
Kaina: 43 000 € (1 162 €/m²)

",2 kamb.,37.00 m²,2/4 a., m.,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-klaipedoje-zvejybos-uostas-minijos-g-7232014.html
"2 kambarių butas Klaipėdoje, Vingio, Šiaulių g. ","
Kaina: 42 500 € (850 €/m²)

",2 kamb.,50.00 m²,5/9 a.,1977 m.,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-klaipedoje-vingio-siauliu-g-7232008.html
"3 kambarių butas Klaipėdoje, Kauno, Kauno g. ","
Kaina: 53 900 € (963 €/m²)

",3 kamb.,56.00 m²,5/5 a.,1966 m.,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-klaipedoje-kauno-kauno-g-7231984.html
"2 kambarių butas Klaipėdoje, Žvejybos uostas, Naikupės g. ","
Kaina: 57 000 € (1 118 €/m²)

",2 kamb.,51.00 m²,1/5 a.,1981 m.,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-klaipedoje-zvejybos-uostas-naikupes-g-7231987.html
"2 kambarių butas Klaipėdoje, Alksnynėje, Taikos pr. ","
Kaina: 103 840 € (1 623 €/m²)

",2 kamb.,64.00 m²,7/22 a.,2009 m.,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-klaipedoje-alksnyneje-taikos-pr-7231990.html
"3 kambarių butas Klaipėdoje, Paupiuose, Klemiškės g. ","
Kaina: 122 000 € (1 937 €/m²)

",3 kamb.,63.00 m²,1/3 a.,2016 m.,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-klaipedoje-paupiuose-klemiskes-g-7231915.html
"4 kambarių butas Klaipėdoje, Laukininkuose, Vingio g. ","
Kaina: 75 999 € (844 €/m²)

",4 kamb.,90.00 m²,1/9 a.,1988 m.,https://domoplius.lt/skelbimai/parduodamas-4-kambariu-butas-klaipedoje-laukininkuose-vingio-g-7231912.html
"2 kambarių butas Klaipėdoje, Varpuose, Liubeko g. ","
Kaina: 46 900 € (853 €/m²)

",2 kamb.,55.00 m²,5/5 a.,1995 m.,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-klaipedoje-varpuose-liubeko-g-7231906.html
"3 kambarių butas Klaipėdoje, Kauno, Kauno g. ","
Kaina: 77 000 € (1 540 €/m²)

",3 kamb.,50.00 m²,4/4 a.,2020 m.,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-klaipedoje-kauno-kauno-g-7231864.html
"3 kambarių butas Klaipėdoje, Mažojo kaimelio, Panevėžio g. ","
Kaina: 135 000 € (2 177 €/m²)

",3 kamb.,62.00 m²,4/5 a.,2017 m.,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-klaipedoje-mazojo-kaimelio-panevezio-g-7231774.html
"3 kambarių butas Klaipėdoje, Kauno, Kauno g. ","
Kaina: 63 000 € (1 575 €/m²)

",3 kamb.,40.00 m²,4/4 a.,2020 m.,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-klaipedoje-kauno-kauno-g-7231861.html
"2 kambarių butas Klaipėdoje, Mažojo kaimelio, Panevėžio g. ","
Kaina: 115 000 € (2 170 €/m²)

",2 kamb.,53.00 m²,1/5 a.,2018 m.,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-klaipedoje-mazojo-kaimelio-panevezio-g-7231765.html
"3 kambarių butas Klaipėdoje, Kauno, Kauno g. ","
Kaina: 82 000 € (1 464 €/m²)

",3 kamb.,56.00 m²,2/4 a.,2020 m.,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-klaipedoje-kauno-kauno-g-7231819.html
"3 kambarių butas Klaipėdoje, Kauno, Kauno g. ","
Kaina: 92 000 € (1 673 €/m²)

",3 kamb.,55.00 m²,3/4 a.,2020 m.,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-klaipedoje-kauno-kauno-g-7231867.html
"1 kambario butas Klaipėdoje, Bandužiuose, Brožynų g. ","
Kaina: 45 000 € (1 023 €/m²)

",1 kamb.,44.00 m²,2/5 a.,1990 m.,https://domoplius.lt/skelbimai/parduodamas-1-kambario-butas-klaipedoje-banduziuose-brozynu-g-7231441.html
